sub,ses,task,run,median_value,filename
0124,03,social,6,48.51510238647461,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-social_acq-mb8_run-6_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,social,4,56.42045211791992,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-social_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,alignvideo,2,48.867408752441406,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,alignvideo,3,52.94242477416992,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,social,6,54.44050979614258,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-social_acq-mb8_run-6_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,social,4,63.44300842285156,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-social_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,social,1,46.301513671875,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-social_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,social,3,54.70780944824219,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-social_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,fractional,1,53.900062561035156,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-fractional_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,social,3,52.927406311035156,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-social_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,narratives,4,58.87566375732422,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-narratives_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,social,2,45.09010314941406,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-social_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,social,6,52.970741271972656,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-social_acq-mb8_run-6_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,social,1,58.738311767578125,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-social_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,alignvideo,2,56.29438781738281,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,alignvideo,1,64.60163879394531,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,social,5,52.140037536621094,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-social_acq-mb8_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,alignvideo,1,57.03247833251953,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,social,1,54.57797622680664,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-social_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,social,4,41.82754898071289,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-social_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,narratives,3,55.947364807128906,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-narratives_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,alignvideo,2,61.49806213378906,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
