"sub","ses","run","fd_mean","dvars_mean","globalsignal_mean","task","task_factor"
"sub-0126","ses-03","run-03",0.151752986399311,44.6636544179105,3285.90846749701,"social","social"
"sub-0126","ses-03","run-04",0.138072564866223,41.2366053237658,3278.05401711044,"social","social"
"sub-0126","ses-03","run-05",0.155559903348588,42.3091626394948,3252.54219706473,"social","social"
"sub-0126","ses-03","run-06",0.203887111774971,39.2925910734788,3251.77394056247,"social","social"
"sub-0127","ses-01","run-01",0.152086548422732,41.5290924776119,3493.74272663621,"social","social"
"sub-0127","ses-01","run-02",0.103824746758094,37.9668411699196,3506.16111382056,"social","social"
"sub-0127","ses-01","run-03",0.121236418555683,36.3022839908152,3492.50878070521,"social","social"
"sub-0127","ses-01","run-04",0.129601013774971,36.13425826062,3502.98047994813,"social","social"
"sub-0127","ses-01","run-05",0.174436531141447,38.8187553318025,3465.55002929312,"social","social"
"sub-0127","ses-01","run-06",0.126453607600459,35.2485720011481,3427.38659770786,"social","social"
"sub-0127","ses-03","run-01",0.171396164578645,41.603723652124,3517.13975091309,"social","social"
"sub-0127","ses-03","run-02",0.159946184122526,39.4350347956372,3535.99145486464,"social","social"
"sub-0127","ses-03","run-03",0.264017188668657,38.4334743834673,3515.69223472266,"social","social"
"sub-0127","ses-03","run-04",0.197817977718714,36.558056065442,3446.58355906774,"social","social"
"sub-0127","ses-03","run-05",0.177443849415614,39.3831873467279,3540.94456958682,"social","social"
"sub-0127","ses-03","run-06",0.22872802026636,38.828256608496,3460.4558124734,"social","social"
"sub-0127","ses-04","run-01",0.188142263869116,36.9952045797933,3442.63043778698,"social","social"
"sub-0127","ses-04","run-02",0.269824177269644,38.7915059690012,3403.03686694425,"social","social"
"sub-0127","ses-04","run-03",0.184876053007692,38.1897878989667,3436.92810869739,"social","social"
"sub-0127","ses-04","run-04",0.202772981728703,36.479576467279,3405.92538376267,"social","social"
"sub-0127","ses-04","run-05",0.16116222815155,36.827571924225,3453.96791436198,"social","social"
"sub-0127","ses-04","run-06",0.130917146280138,38.6676005499426,3445.002419986,"social","social"
"sub-0128","ses-01","run-01",0.0810105811132032,33.3302429380023,3764.11421993015,"social","social"
"sub-0128","ses-01","run-02",0.0878984961928817,33.5912943857635,3753.74997259221,"social","social"
"sub-0128","ses-01","run-03",0.110332582342135,31.4960944707233,3771.30713946415,"social","social"
"sub-0128","ses-01","run-04",0.114639198404133,31.3132221216992,3775.96528731331,"social","social"
"sub-0128","ses-01","run-05",0.0812931524635132,34.7391554913892,3735.01761701261,"social","social"
"sub-0128","ses-01","run-06",0.08905697836969,36.8983206314581,3731.37894108573,"social","social"
"sub-0128","ses-03","run-01",0.103635393607348,33.7843672801378,3605.9096983432,"social","social"
"sub-0128","ses-03","run-02",0.122009048467279,31.921258554535,3618.53193381003,"social","social"
"sub-0128","ses-03","run-03",0.0917871203394948,34.5917659012629,3615.68415037896,"social","social"
"sub-0128","ses-03","run-04",0.0870898539910447,35.8015536555683,3607.29405328208,"social","social"
"sub-0128","ses-03","run-05",0.100442712527555,34.2475165464983,3602.33673493516,"social","social"
"sub-0128","ses-03","run-06",0.086196278750861,31.4544170608496,3614.02800389722,"social","social"
"sub-0129","ses-01","run-01",0.0846842658840413,39.9803075706085,3317.25396984738,"social","social"
"sub-0129","ses-01","run-02",0.119302743239954,37.7964802583238,3291.60125132312,"social","social"
"sub-0129","ses-01","run-03",0.0918475656785304,39.1443668266361,3319.67762949093,"social","social"
"sub-0129","ses-01","run-04",0.109524631548794,39.21789163031,3277.63621640448,"social","social"
"sub-0129","ses-01","run-05",0.0785516649835821,39.1680805970149,3299.65311447236,"social","social"
"sub-0129","ses-01","run-06",0.0783810053455797,39.7624321836969,3306.71636632876,"social","social"
"sub-0129","ses-03","run-01",0.146512605373134,39.1493181354765,3472.11435072139,"social","social"
"sub-0129","ses-03","run-02",0.0796460738461538,36.6271225258324,3483.4062486792,"social","social"
"sub-0129","ses-03","run-03",0.0816883535453501,38.707557727899,3513.27271208433,"social","social"
"sub-0129","ses-03","run-04",0.0767993761274397,39.0158297520092,3528.2843573755,"social","social"
"sub-0129","ses-03","run-05",0.102068647041332,35.6351540378875,3488.58282868831,"social","social"
"sub-0129","ses-03","run-06",0.133133167513203,36.3270192296211,3477.67790835494,"social","social"
"sub-0129","ses-04","run-01",0.168140688148794,42.723638401837,3031.17434708916,"social","social"
"sub-0129","ses-04","run-02",0.0813724676429391,40.1942550183697,3063.41056138137,"social","social"
"sub-0129","ses-04","run-03",0.0841163207880597,43.6291955350172,3085.26438409286,"social","social"
"sub-0129","ses-04","run-04",0.108278248363949,37.1285730401837,3049.38578845911,"social","social"
"sub-0129","ses-04","run-05",0.162824886635132,42.6540366498278,3022.97157645717,"social","social"
"sub-0129","ses-04","run-06",0.105622802285763,40.1525576245695,3087.16602406781,"social","social"
"sub-0130","ses-01","run-01",0.108328165086452,33.616667435132,3093.77314932406,"social","social"
"sub-0130","ses-01","run-02",0.102632730774971,33.6777839517796,3087.02696085497,"social","social"
"sub-0130","ses-01","run-03",0.118562418358668,34.5841556291619,3122.53299001795,"social","social"
"sub-0130","ses-01","run-04",0.115765079726751,34.0222832411022,3095.3739987824,"social","social"
"sub-0130","ses-01","run-05",0.106259622308611,33.5019214512055,3085.73694152756,"social","social"
"sub-0130","ses-01","run-06",0.103165719277382,34.5036724776119,3118.20804646738,"social","social"
"sub-0130","ses-03","run-01",0.104387743619518,36.5883104064294,3139.34628868878,"social","social"
"sub-0130","ses-03","run-02",0.111492752424799,36.4307567462687,3122.61681027143,"social","social"
"sub-0130","ses-03","run-03",0.107869631077382,36.4791265361653,3187.33948648929,"social","social"
"sub-0130","ses-03","run-04",0.111525991178209,37.9312423983927,3164.11243189144,"social","social"
"sub-0130","ses-03","run-05",0.123416198027554,36.8112457118255,3181.29869115554,"social","social"
"sub-0130","ses-03","run-06",0.100251702180941,36.7551702675086,3173.20281379374,"social","social"
"sub-0130","ses-04","run-01",0.122559923345924,32.8685091572905,3230.43975144262,"social","social"
"sub-0130","ses-04","run-02",0.113109784136625,33.4485319690011,3230.27255631026,"social","social"
"sub-0130","ses-04","run-03",0.101753969631917,35.5964252020666,3232.39539256238,"social","social"
"sub-0130","ses-04","run-04",0.112158026206085,35.6604415958668,3278.40002204222,"social","social"
"sub-0130","ses-04","run-05",0.092753571554535,34.5374585419059,3256.28034499832,"social","social"
"sub-0130","ses-04","run-06",0.100094052119862,36.6098361297359,3263.33376841454,"social","social"
"sub-0131","ses-01","run-01",0.0974037081733639,31.4075117543054,3513.78946620299,"social","social"
"sub-0131","ses-01","run-02",0.117619386049369,30.3290843134328,3496.27467611686,"social","social"
"sub-0131","ses-01","run-03",0.0928952298694604,30.8719172560276,3513.58444703486,"social","social"
"sub-0131","ses-01","run-04",0.10298189226186,32.5597533570608,3494.42530098867,"social","social"
"sub-0131","ses-01","run-05",0.084263500878125,32.8506561015625,3449.10087494845,"social","social"
"sub-0131","ses-01","run-06",0.0880766455027325,31.2229842445465,3520.19926728069,"social","social"
"sub-0131","ses-03","run-01",0.152601920881745,31.3397016831229,4187.49961877981,"social","social"
"sub-0131","ses-03","run-02",0.108967313659701,33.2602206073479,4197.27167980048,"social","social"
"sub-0131","ses-03","run-03",0.127758510941447,32.8073136061998,4182.71993784294,"social","social"
"sub-0131","ses-03","run-04",0.126481271168772,40.6638709471871,4207.02780727334,"social","social"
"sub-0131","ses-03","run-05",0.131295169567164,32.9445549586682,4183.55939791992,"social","social"
"sub-0131","ses-03","run-06",0.134736418788863,32.752523946039,4220.30410254382,"social","social"
"sub-0131","ses-04","run-01",0.104951259620861,35.7743592168874,4236.98544310558,"social","social"
"sub-0131","ses-04","run-02",0.13709518729667,34.3043490068886,4275.64020824102,"social","social"
"sub-0131","ses-04","run-03",0.09564983613938,38.7134553788749,4247.15724034126,"social","social"
"sub-0131","ses-04","run-04",0.103379971612629,35.1884053938002,4233.85096827559,"social","social"
"sub-0131","ses-04","run-05",0.137728888851894,34.9471265338691,4222.38125466773,"social","social"
"sub-0131","ses-04","run-06",0.181971422994489,34.5514890918485,4219.35876670292,"social","social"
"sub-0132","ses-01","run-01",0.166075801676234,38.0075638208955,2924.9103137098,"social","social"
"sub-0132","ses-01","run-02",0.196062974273249,36.3156010057405,2886.7761442322,"social","social"
"sub-0132","ses-01","run-03",0.2860744199093,38.3638487210103,2864.39338999805,"social","social"
"sub-0132","ses-01","run-04",0.161842803451205,40.1497356532721,2892.86007977395,"social","social"
"sub-0132","ses-01","run-05",0.16756264609713,38.7167003329506,2878.22061963521,"social","social"
"sub-0132","ses-01","run-06",0.397659750173364,42.4355825843858,2802.83687814739,"social","social"
"sub-0132","ses-03","run-01",0.215915869690011,38.5286385579793,3409.59635590396,"social","social"
"sub-0132","ses-03","run-02",0.163189584570838,39.2232700229621,3422.68196258463,"social","social"
"sub-0132","ses-03","run-03",0.167835092988519,38.0130543524684,3453.96247131224,"social","social"
"sub-0132","ses-03","run-04",0.163524475785304,37.4275798059701,3409.46526798954,"social","social"
"sub-0132","ses-03","run-05",0.259180813329736,38.7561016153846,3402.98017549124,"social","social"
"sub-0132","ses-03","run-06",0.149937808288174,35.5850281079219,3416.10062525692,"social","social"
"sub-0132","ses-04","run-01",0.172270012185993,37.9162060895522,3559.39975708524,"social","social"
"sub-0132","ses-04","run-02",0.165112560096211,37.0498561148106,3608.40784911928,"social","social"
"sub-0132","ses-04","run-03",0.222814212807118,39.1677084247991,3578.65645456274,"social","social"
"sub-0132","ses-04","run-04",0.257491497734788,39.222626695752,3583.914388579,"social","social"
"sub-0132","ses-04","run-05",0.164412096847302,34.1854292491389,3576.59509340718,"social","social"
"sub-0132","ses-04","run-06",0.147675978001837,37.6634847738232,3601.91884397451,"social","social"
